"source","width","height","original_bytes","referenced_by_pages","generated_widths"
"assets/images/collections/bench-02/01-three-quarter-view.jpg","6000","4000","3479369","archive.html; fecit-platform.html; index.html","1200; 1600; 2400; 3200"
"assets/images/collections/bench-02/02-front-view.jpg","5900","3933","3234268","fecit-platform.html","1200; 1600; 2400; 3200"
"assets/images/collections/bench-02/03-top-detail.jpg","6000","4000","2168356","fecit-platform.html","1200; 1600; 2400; 3200"
"assets/images/collections/bench-02/IMG-20250814-WA0016.jpg","1066","1600","503392","",""
"assets/images/collections/bench-02/IMG-20250814-WA0018.jpg","1066","1600","397713","",""
"assets/images/collections/bench-02/IMG-20250814-WA0019.jpg","1600","1066","559187","fecit-platform.html","1200; 1600"
"assets/images/collections/cabinet-01/01-three-quarter-view.jpg","4000","6000","4531172","archive.html; index.html; pillar-table.html","1200; 1600; 2400; 3200"
"assets/images/collections/cabinet-01/02-front-view.jpg","3645","5468","3599718","pillar-table.html","1200; 1600; 2400; 3200"
"assets/images/collections/cabinet-01/03-underside-detail.jpg","4000","6000","3082610","",""
"assets/images/collections/cabinet-01/04-corner-detail.jpg","4000","6000","2656084","",""
"assets/images/collections/console-table-01/01-three-quarter-view.jpg","6000","4000","4061778","archive.html; index.html; wf06-hallway-table.html","1200; 1600; 2400; 3200"
"assets/images/collections/console-table-01/02-front-view.jpg","5685","3790","2742073","wf06-hallway-table.html","1200; 1600; 2400; 3200"
"assets/images/collections/console-table-01/03-side-three-quarter.jpg","6000","4000","1921483","wf06-hallway-table.html","1200; 1600; 2400; 3200"
"assets/images/collections/console-table-01/04-leg-joint-detail.jpg","4000","6000","2210992","wf06-hallway-table.html","1200; 1600; 2400; 3200"
"assets/images/collections/lounge-chair-01/01-front-three-quarter.jpg","4000","6000","1964686","archive.html; index.html; wf05-dining-chair.html","1200; 1600; 2400; 3200"
"assets/images/collections/lounge-chair-01/02-side-detail.jpg","4000","6000","2644489","wf05-dining-chair.html","1200; 1600; 2400; 3200"
"assets/images/collections/lounge-chair-01/03-rear-three-quarter.jpg","4000","6000","2014864","wf05-dining-chair.html","1200; 1600; 2400; 3200"
"assets/images/collections/lounge-chair-02/01-front-three-quarter.jpg","3756","5635","4201122","archive.html; index.html; wf03-lounge-chair.html","1200; 1600; 2400; 3200"
"assets/images/collections/lounge-chair-02/02-rear-three-quarter.jpg","4000","6000","4549061","wf03-lounge-chair.html","1200; 1600; 2400; 3200"
"assets/images/collections/lounge-chair-02/03-arm-joint-detail.jpg","4000","6000","2592433","",""
"assets/images/collections/lounge-chair-02/04-front-detail.jpg","4000","6000","2601477","wf03-lounge-chair.html","1200; 1600; 2400; 3200"
"assets/images/collections/lounge-chair-02/05-side-detail.jpg","4000","6000","2264606","wf03-lounge-chair.html","1200; 1600; 2400; 3200"
